year,month,day,hour,minute,latitude,longitude,accident_type,fatalities,injuries,road_shape,accident_category,police_station_code,severity_a,severity_b,police_station_name
2023,1,4,19,0,35.74453944444445,139.7896063888889,2,0,1,1,41,667,2,0,千住
2023,1,5,3,15,35.75169388888889,139.80704833333334,2,0,1,14,41,667,2,0,千住
2023,1,5,17,7,35.75027722222222,139.8027277777778,2,0,1,1,1,667,4,2,千住
2023,1,8,1,30,35.74458888888889,139.81603777777778,2,0,1,14,41,667,2,0,千住
2023,1,24,16,45,35.74684555555556,139.81033416666668,2,0,1,1,21,667,4,2,千住
2023,1,25,6,50,35.75260333333333,139.79294,2,0,1,14,21,667,2,4,千住
2023,1,30,16,8,35.749989722222224,139.80374861111113,2,0,1,1,1,667,4,2,千住
2023,1,6,8,30,35.75129138888889,139.81011305555558,2,0,1,1,21,667,4,2,千住
2022,7,11,8,30,35.77822,139.7471775,2,0,1,12,21,668,4,4,西新井
2022,12,21,12,10,35.7633925,139.7988413888889,2,0,1,1,21,668,4,2,西新井
2023,1,1,14,32,35.78032916666667,139.78325916666668,2,0,2,14,21,668,2,4,西新井
2023,1,3,8,30,35.779225555555556,139.78654916666667,2,0,1,14,41,668,2,0,西新井
2023,1,3,11,40,35.786653055555554,139.77937083333336,2,0,1,1,41,668,2,0,西新井
2023,1,5,13,50,35.76415194444444,139.80322055555555,2,0,1,1,21,668,4,2,西新井
2023,1,7,15,50,35.77859194444444,139.75075083333334,2,0,1,1,21,668,4,2,西新井
2023,1,7,20,0,35.778509444444445,139.7561038888889,2,0,1,1,21,668,4,2,西新井
2023,1,10,5,10,35.764966944444446,139.77070694444447,2,0,1,1,21,668,4,2,西新井
2023,1,11,10,50,35.76823777777778,139.77401194444445,2,0,1,14,21,668,4,2,西新井
2023,1,11,11,36,35.77551944444444,139.7905538888889,2,0,1,14,41,668,2,0,西新井
2023,1,11,17,25,35.77081861111111,139.79657472222223,2,0,1,14,41,668,2,0,西新井
2023,1,11,18,2,35.77834194444444,139.79249944444445,2,0,1,14,21,668,4,2,西新井
2023,1,12,8,37,35.786566666666666,139.7712236111111,2,0,1,1,21,668,4,2,西新井
2023,1,15,12,48,35.783725,139.7658436111111,2,0,1,1,21,668,4,4,西新井
2023,1,15,14,0,35.76950222222222,139.79138472222223,2,0,1,1,21,668,4,2,西新井
2023,1,13,5,25,35.77397,139.78467444444445,2,0,1,1,21,668,4,2,西新井
2023,1,16,16,35,35.770265555555554,139.803415,2,0,2,7,21,668,4,2,西新井
2023,1,16,16,45,35.766375277777776,139.79412083333332,2,0,1,1,41,668,2,0,西新井
2023,1,17,9,5,35.76157777777778,139.80325694444446,2,0,1,1,21,668,4,2,西新井
2023,1,17,9,35,35.76783611111111,139.78050777777779,2,0,1,1,1,668,4,2,西新井
2023,1,17,14,40,35.774454722222224,139.79314166666666,2,0,1,14,21,668,4,2,西新井
2023,1,17,17,20,35.78715416666667,139.76552416666667,2,0,1,1,21,668,4,2,西新井
2023,1,17,20,20,35.76130138888889,139.80322722222223,2,0,1,14,41,668,2,0,西新井
2023,1,17,18,10,35.765881666666665,139.7673513888889,2,0,1,1,21,668,4,2,西新井
2023,1,18,14,50,35.7811625,139.79772055555554,2,0,1,14,41,668,2,0,西新井
2023,1,19,7,55,35.76181916666667,139.8033677777778,2,0,1,1,21,668,4,2,西新井
2023,1,19,8,0,35.76777472222222,139.79102527777778,2,0,1,14,41,668,2,0,西新井
2023,1,19,8,6,35.76850111111111,139.76393555555555,2,0,2,1,21,668,4,2,西新井
2023,1,19,17,50,35.78624388888889,139.7807461111111,2,0,1,14,41,668,2,0,西新井
2023,1,20,18,43,35.77603138888889,139.78770666666665,2,0,1,1,21,668,4,2,西新井
2023,1,13,17,20,35.775773888888885,139.77016944444446,2,0,2,7,21,668,4,2,西新井
2023,1,21,17,35,35.77575888888889,139.79386194444444,2,0,1,1,21,668,2,4,西新井
2023,1,22,6,50,35.760308055555555,139.78367,2,0,1,14,41,668,2,0,西新井
2023,1,23,10,40,35.77175833333333,139.78115222222223,2,0,1,14,41,668,2,0,西新井
2023,1,24,20,35,35.79212444444444,139.76093944444443,2,0,1,14,41,668,2,0,西新井
2023,1,25,11,10,35.77636111111111,139.79425972222222,2,0,1,14,41,668,2,0,西新井
2023,1,25,11,10,35.759506944444446,139.77827861111112,2,0,1,14,21,668,4,2,西新井
2023,1,26,2,17,35.767046666666666,139.77086972222224,2,0,1,1,21,668,4,2,西新井
2023,1,26,11,30,35.77850333333333,139.77398611111113,2,0,1,14,1,668,4,2,西新井
2023,1,27,1,25,35.78420611111111,139.77211222222223,2,0,1,14,41,668,2,0,西新井
2023,1,27,10,35,35.76954027777778,139.7868347222222,2,0,1,1,21,668,4,2,西新井
2023,1,27,14,39,35.77128833333333,139.73677055555555,2,0,1,1,21,668,4,2,西新井
2023,1,27,17,45,35.779647499999996,139.74570416666666,2,0,1,14,21,668,4,2,西新井
2023,1,28,7,35,35.776653055555556,139.791875,2,0,1,1,41,668,2,0,西新井
2023,1,29,14,40,35.773131388888885,139.76569722222223,2,0,1,14,41,668,2,0,西新井
2023,1,29,14,52,35.78657083333333,139.80297083333335,2,0,1,14,21,668,4,2,西新井
2023,1,29,19,30,35.778329722222225,139.78608083333333,2,0,1,1,21,668,4,2,西新井
2023,1,30,7,8,35.78245833333333,139.79699277777777,2,0,1,14,21,668,2,0,西新井
2023,1,28,15,20,35.79120361111111,139.76484861111112,2,0,1,1,41,668,2,0,西新井
2022,12,26,19,30,35.787392499999996,139.81199583333336,2,0,2,1,21,669,2,2,綾瀬
2022,12,26,18,10,35.78562194444444,139.81816555555554,2,0,1,14,21,669,4,2,綾瀬
2022,12,21,15,45,35.785180555555556,139.82375333333334,2,0,2,1,21,669,2,4,綾瀬
2022,12,21,18,10,35.78409305555555,139.82225944444443,2,0,1,14,21,669,4,2,綾瀬
2023,1,1,21,31,35.77856305555555,139.80477722222224,2,0,1,7,41,669,2,0,綾瀬
2023,1,2,18,15,35.76185916666667,139.80690333333334,2,0,1,14,41,669,2,0,綾瀬
2023,1,4,9,47,35.790664444444445,139.8322536111111,2,0,1,14,21,669,4,2,綾瀬
2023,1,4,12,40,35.766938333333336,139.8062238888889,2,0,1,14,21,669,4,2,綾瀬
2023,1,6,17,50,35.79367083333333,139.84031194444447,2,0,1,1,21,669,4,2,綾瀬
2023,1,6,10,23,35.76667805555555,139.8414877777778,2,0,1,14,21,669,4,2,綾瀬
2023,1,5,11,55,35.79618055555555,139.83995444444446,2,0,1,1,21,669,4,2,綾瀬
2023,1,7,12,35,35.76311194444445,139.826745,2,0,1,14,1,669,4,2,綾瀬
2023,1,7,10,35,35.789769166666666,139.83693027777778,2,0,1,14,41,669,2,0,綾瀬
2023,1,9,9,45,35.778596944444445,139.80591,2,0,1,1,21,669,4,2,綾瀬
2023,1,9,13,15,35.77683222222222,139.8393413888889,2,0,1,14,21,669,4,2,綾瀬
2023,1,9,14,5,35.77517972222222,139.82333,2,0,1,14,41,669,2,0,綾瀬
2023,1,12,12,50,35.77878166666667,139.8093491666667,2,0,1,14,41,669,2,0,綾瀬
2023,1,13,11,0,35.78187138888889,139.8160127777778,2,0,1,1,21,669,4,2,綾瀬
2023,1,13,12,15,35.77917583333333,139.81113694444446,2,0,2,1,21,669,2,2,綾瀬
2023,1,13,20,30,35.77078,139.8423313888889,2,0,1,1,21,669,4,2,綾瀬
2023,1,14,9,40,35.7817225,139.8115686111111,2,0,1,1,21,669,4,2,綾瀬
2023,1,16,10,55,35.79126472222222,139.84096472222222,2,0,1,1,21,669,4,2,綾瀬
2023,1,17,6,25,35.779159166666666,139.8375375,2,0,1,1,1,669,4,2,綾瀬
2023,1,17,18,55,35.784295,139.82169666666667,2,0,1,14,21,669,4,2,綾瀬
2023,1,17,18,50,35.765460555555556,139.80877805555556,2,0,1,14,41,669,2,0,綾瀬
2023,1,17,19,18,35.76430611111111,139.82373194444443,2,0,1,7,21,669,4,2,綾瀬
2023,1,18,7,25,35.7964025,139.83980583333334,2,0,1,1,21,669,4,2,綾瀬
2023,1,15,17,0,35.77012555555555,139.8459175,2,0,1,1,41,669,2,0,綾瀬
2023,1,19,11,49,35.76264527777778,139.82801833333332,2,0,1,14,41,669,2,0,綾瀬
2023,1,21,21,13,35.772127222222224,139.82535166666668,2,0,1,1,1,669,4,2,綾瀬
2023,1,23,6,20,35.79218861111111,139.82829916666665,2,0,1,7,1,669,4,2,綾瀬
2023,1,23,8,45,35.79117027777777,139.83638805555557,2,0,1,14,41,669,2,0,綾瀬
2023,1,24,18,20,35.78841083333333,139.8419086111111,2,0,1,14,21,669,4,2,綾瀬
2023,1,25,7,5,35.78487638888889,139.81102722222224,2,0,1,14,21,669,4,2,綾瀬
2023,1,26,18,55,35.76361722222222,139.81711027777777,2,0,1,0,1,669,4,2,綾瀬
2023,1,27,15,10,35.783403888888884,139.8162391666667,2,0,1,1,1,669,4,2,綾瀬
2023,1,27,16,8,35.778553055555555,139.8115488888889,2,0,1,14,21,669,4,2,綾瀬
2023,1,27,18,40,35.77585111111111,139.83893666666668,2,0,1,1,41,669,2,0,綾瀬
2023,1,28,2,5,35.77919861111111,139.83961666666667,2,0,1,14,41,669,2,0,綾瀬
2023,1,28,11,25,35.78820694444444,139.83990555555556,2,0,1,1,21,669,4,2,綾瀬
2023,1,28,17,20,35.762208055555554,139.8273661111111,2,0,1,14,41,669,2,0,綾瀬
2023,1,29,16,5,35.78370527777778,139.81456972222225,2,0,1,14,41,669,2,0,綾瀬
2023,1,29,17,20,35.7765475,139.83678166666667,2,0,3,14,21,669,2,2,綾瀬
2023,1,29,18,30,35.77555972222222,139.84384472222223,2,0,1,14,21,669,4,2,綾瀬
2023,1,30,8,35,35.780005277777775,139.81102055555556,2,0,1,1,21,669,4,2,綾瀬
2023,1,10,11,35,35.77628694444444,139.82995083333333,2,0,1,1,21,669,4,2,綾瀬
2023,1,29,9,15,35.77842805555555,139.80488194444445,2,0,1,0,1,669,4,2,綾瀬
2022,12,26,18,20,35.796166666666664,139.76164222222224,2,0,1,1,21,670,2,4,竹の塚
2022,10,4,21,7,35.79202361111111,139.8024841666667,2,0,1,14,21,670,2,0,竹の塚
2022,12,21,7,11,35.80750611111111,139.7597597222222,2,0,1,1,21,670,4,2,竹の塚
2022,10,7,20,20,35.804164166666666,139.7598461111111,2,0,2,12,21,670,4,2,竹の塚
2023,1,3,17,15,35.805817777777776,139.81074111111113,2,0,1,1,21,670,4,2,竹の塚
2023,1,7,18,15,35.80561888888889,139.76669222222225,2,0,1,1,21,670,4,2,竹の塚
2023,1,9,8,35,35.805166944444444,139.79116249999998,2,0,1,1,21,670,4,2,竹の塚
2023,1,11,8,25,35.80746555555555,139.75897805555556,2,0,1,1,21,670,4,2,竹の塚
2023,1,11,14,45,35.80586527777778,139.7713588888889,2,0,1,1,21,670,4,2,竹の塚
2023,1,12,7,10,35.80458222222222,139.7809088888889,2,0,1,1,41,670,2,0,竹の塚
2023,1,13,7,45,35.79457027777777,139.7872975,2,0,1,14,1,670,4,2,竹の塚
2023,1,15,1,15,35.79819055555556,139.7930411111111,2,0,1,14,41,670,2,0,竹の塚
2023,1,18,17,20,35.798074166666666,139.7978125,2,0,1,7,41,670,2,0,竹の塚
2023,1,21,6,20,35.794086666666665,139.8170113888889,2,0,1,1,21,670,4,2,竹の塚
2023,1,21,8,0,35.806365,139.76647833333334,2,0,1,1,21,670,4,2,竹の塚
2023,1,21,8,30,35.78608388888889,139.80450305555556,2,0,1,14,21,670,4,2,竹の塚
2023,1,21,17,40,35.80491305555555,139.80321722222223,2,0,1,14,21,670,4,2,竹の塚
2023,1,21,19,0,35.80325694444444,139.79157722222223,2,0,1,14,21,670,4,2,竹の塚
2023,1,10,11,0,35.80043055555555,139.80305111111113,2,0,1,14,21,670,4,2,竹の塚
2023,1,22,20,15,35.79481472222222,139.79718555555556,2,0,1,14,21,670,4,2,竹の塚
2023,1,22,20,50,35.80146222222222,139.79138305555554,2,0,1,7,41,670,2,0,竹の塚
2023,1,23,6,25,35.792810555555555,139.80446694444444,2,0,1,14,21,670,4,2,竹の塚
2023,1,23,16,10,35.79125694444444,139.77414444444446,2,0,1,14,1,670,4,2,竹の塚
2023,1,23,17,55,35.81122944444444,139.76311805555557,2,0,1,1,1,670,4,2,竹の塚
2022,10,14,5,5,35.79526333333333,139.78156444444446,2,0,1,14,21,670,4,2,竹の塚
2023,1,18,5,23,35.797869999999996,139.79630333333333,2,0,1,1,41,670,4,0,竹の塚
2023,1,26,8,6,35.79590472222222,139.78749166666665,2,0,1,1,21,670,4,2,竹の塚
2023,1,27,18,10,35.79895277777778,139.79457305555556,2,0,1,1,21,670,4,2,竹の塚
2023,1,27,20,10,35.78909111111111,139.786175,2,0,1,1,21,670,4,2,竹の塚
2023,1,28,10,5,35.80516194444444,139.80434722222225,2,0,1,1,1,670,4,2,竹の塚
2023,1,28,13,40,35.79484222222222,139.80242083333334,2,0,1,1,21,670,4,2,竹の塚
2023,1,28,8,24,35.79483611111111,139.79977888888888,2,0,1,1,21,670,4,2,竹の塚
2023,1,30,11,23,35.80106833333333,139.77697111111112,2,0,1,14,21,670,4,2,竹の塚
2023,1,31,12,5,35.79470694444444,139.81449722222223,2,0,1,1,21,670,4,2,竹の塚
2023,1,31,15,15,35.798539999999996,139.78152,2,0,1,14,41,670,4,0,竹の塚
2023,2,1,0,10,35.74392388888889,139.79529083333333,2,0,1,7,41,667,2,0,千住
2023,2,1,17,55,35.749117222222225,139.79894333333334,2,0,1,1,21,667,4,2,千住
2023,2,16,7,50,35.74234416666667,139.79789305555556,2,0,1,14,21,667,2,4,千住
2023,2,14,21,25,35.74277611111111,139.81304055555557,2,0,1,1,21,667,4,2,千住
2023,2,12,22,19,35.750909166666666,139.79989416666666,2,0,2,1,21,667,4,2,千住
2022,12,20,7,35,35.76714194444445,139.76262722222222,2,0,1,14,21,668,2,4,西新井
2023,1,12,20,5,35.77759916666667,139.74116666666666,2,0,1,14,1,668,4,2,西新井
2023,2,2,19,25,35.77871472222222,139.80126583333333,2,0,1,12,21,668,4,2,西新井
2023,2,2,20,42,35.778099166666664,139.7848038888889,2,0,1,1,21,668,4,2,西新井
2023,2,3,18,30,35.77851833333333,139.75118305555554,2,0,1,1,41,668,2,0,西新井
2023,2,6,15,45,35.779759722222224,139.78315527777778,2,0,1,14,41,668,2,0,西新井
2023,2,7,6,10,35.78594583333333,139.80294111111112,2,0,1,1,21,668,4,2,西新井
2023,2,9,21,55,35.78257305555555,139.7833277777778,2,0,1,14,41,668,2,0,西新井
2023,2,13,23,50,35.79300944444444,139.76969583333334,2,0,1,14,41,668,2,0,西新井
2023,2,14,9,52,35.78667222222222,139.77796500000002,2,0,1,1,21,668,4,4,西新井
2023,2,14,13,37,35.7723575,139.7975311111111,2,0,1,14,21,668,4,2,西新井
2023,2,15,13,35,35.78317611111111,139.76327472222223,2,0,1,1,41,668,2,0,西新井
2023,2,16,8,5,35.78507388888889,139.75160277777778,2,0,1,1,1,668,4,2,西新井
2023,2,17,7,5,35.78214555555555,139.7816852777778,2,0,1,1,21,668,4,2,西新井
2023,2,14,20,20,35.78724222222222,139.7710086111111,2,0,1,1,21,668,2,4,西新井
2023,2,15,6,30,35.78599472222222,139.77927194444445,2,0,1,1,21,668,2,4,西新井
2023,1,24,9,25,35.787526666666665,139.77009138888891,2,0,1,14,21,668,4,2,西新井
2023,2,17,21,18,35.778350833333334,139.7649763888889,2,0,1,1,21,668,4,2,西新井
2023,2,10,11,10,35.78257277777778,139.78240055555557,2,0,1,14,21,668,2,4,西新井
2023,2,18,15,35,35.77318472222222,139.78772972222222,2,0,1,14,1,668,4,2,西新井
2023,2,19,14,25,35.77844916666667,139.79541416666666,2,0,1,14,21,668,4,2,西新井
2023,2,20,7,55,35.76361222222222,139.7924972222222,2,0,1,1,21,668,4,2,西新井
2023,2,14,17,14,35.779424166666665,139.77212666666668,2,0,1,1,21,668,4,2,西新井
2023,2,15,5,50,35.778439722222224,139.78478944444444,2,0,1,1,21,668,4,2,西新井
2022,12,25,13,25,35.774253055555555,139.7413775,2,0,2,14,21,668,4,2,西新井
2023,2,22,7,35,35.78661944444444,139.79049916666668,2,0,1,1,21,668,4,2,西新井
2023,2,13,18,5,35.77838861111111,139.75860916666667,2,0,1,14,21,668,2,4,西新井
2023,2,23,12,51,35.776000833333335,139.7818202777778,2,0,1,14,21,668,4,2,西新井
2023,2,24,14,51,35.78653194444444,139.80294555555557,2,0,2,14,21,668,2,4,西新井
2023,2,24,18,45,35.7782525,139.79019277777778,2,0,1,1,1,668,4,2,西新井
2023,2,24,21,40,35.76938027777778,139.78480666666667,2,0,1,1,21,668,4,2,西新井
2023,2,26,14,20,35.77587194444445,139.7866077777778,2,0,1,14,41,668,2,0,西新井
2023,2,26,15,55,35.78825555555555,139.75823555555556,2,0,1,1,1,668,4,2,西新井
2023,2,26,16,50,35.78061722222222,139.75589666666667,2,0,1,1,21,668,4,2,西新井
2023,2,27,5,50,35.779649722222224,139.78290916666668,2,0,1,1,1,668,4,2,西新井
2023,2,27,6,10,35.7799925,139.75112611111112,2,0,2,14,21,668,4,2,西新井
2023,2,27,8,20,35.765209722222224,139.77606916666667,2,0,1,1,21,668,4,2,西新井
2023,2,28,6,15,35.76464555555555,139.7709202777778,2,0,1,1,21,668,4,2,西新井
2023,2,28,7,16,35.77052,139.77039194444447,2,0,1,14,21,668,4,2,西新井
2023,2,28,8,25,35.78058388888889,139.7578161111111,2,0,1,14,41,668,2,0,西新井
2023,2,7,16,13,35.77409472222222,139.78880916666665,2,0,1,14,21,668,4,2,西新井
2023,1,22,16,20,35.77081972222222,139.74256277777778,2,0,1,1,21,668,4,2,西新井
2022,11,29,16,50,35.76798361111111,139.82205888888888,2,0,1,14,21,669,4,2,綾瀬
2022,11,10,19,8,35.79508527777777,139.84018222222224,2,0,1,1,21,669,2,0,綾瀬
2022,12,21,17,15,35.764156666666665,139.8235375,2,0,1,1,21,669,4,2,綾瀬
2022,12,21,20,25,35.777364444444444,139.8319486111111,2,0,1,1,21,669,4,2,綾瀬
2023,1,15,17,52,35.7794525,139.82143305555556,2,0,1,1,21,669,4,2,綾瀬
2023,1,15,21,28,35.76356694444444,139.80746222222223,2,0,1,1,1,669,4,2,綾瀬
2023,1,17,18,33,35.7800525,139.81109305555557,2,0,1,1,1,669,4,2,綾瀬
2023,1,19,15,38,35.7824375,139.82146833333334,2,0,1,14,21,669,2,4,綾瀬
2023,1,19,18,49,35.77858055555556,139.81400416666668,2,0,1,1,21,669,4,2,綾瀬
2023,2,1,7,35,35.769264166666666,139.8307513888889,2,0,2,1,21,669,2,2,綾瀬
2023,2,2,13,30,35.7623425,139.82243916666667,2,0,1,7,21,669,4,2,綾瀬
2023,2,2,17,15,35.78959138888889,139.83225694444445,2,0,1,1,21,669,4,2,綾瀬
